timestamp,ground_truth_x,ground_truth_y,ground_truth_cell,rssi_A,rssi_B,rssi_C,rssi_D,rssiA_mean,rssiA_median,rssiA_std,rssiA_min,rssiA_max,rssiA_q25,rssiA_q75,rssiA_outliers,rssiB_mean,rssiB_median,rssiB_std,rssiB_min,rssiB_max,rssiB_q25,rssiB_q75,rssiB_outliers,rssiC_mean,rssiC_median,rssiC_std,rssiC_min,rssiC_max,rssiC_q25,rssiC_q75,rssiC_outliers,rssiD_mean,rssiD_median,rssiD_std,rssiD_min,rssiD_max,rssiD_q25,rssiD_q75,rssiD_outliers,anchors_valid,sample_number,collection_time_ms,beacon_moving,environment,notes
2025-12-14T21:03:49.880769,3.0,3.0,B2,-78,-68,-83,-77,-78,-78,1.3,-80,-76,-79,-77,0,-71,-69,3.8,-78,-68,-76,-69,0,-83,-83,0.7,-84,-82,-84,-83,0,-79,-78,2.6,-83,-77,-82,-78,0,4,1,17260,false,basement_parking,
2025-12-14T21:04:02.924886,3.0,3.0,B2,-77,-70,-83,-80,-77,-77,0.9,-79,-76,-77,-77,4,-70,-69,3.4,-77,-68,-70,-69,3,-83,-83,0.8,-84,-82,-84,-82,0,-80,-79,2.4,-84,-77,-82,-78,0,4,2,12042,false,basement_parking,
2025-12-14T21:04:16.971420,3.0,3.0,B2,-78,-73,-82,-80,-78,-79,1.2,-80,-77,-79,-77,0,-73,-70,3.3,-77,-70,-77,-70,0,-82,-83,0.9,-84,-82,-83,-82,0,-79,-78,2.3,-83,-77,-82,-78,0,4,3,13044,false,basement_parking,
2025-12-14T21:04:30.003208,3.0,3.0,B2,-79,-72,-83,-81,-78,-78,1.4,-80,-76,-79,-77,0,-73,-76,3.4,-77,-70,-77,-70,0,-83,-83,0.8,-85,-82,-84,-83,0,-80,-81,2.5,-84,-77,-83,-78,0,4,4,12029,false,basement_parking,
2025-12-14T21:04:43.879723,3.0,3.0,B2,-76,-75,-83,-79,-77,-77,1.4,-81,-76,-78,-76,0,-72,-70,3.8,-78,-69,-76,-69,0,-83,-83,0.9,-85,-82,-84,-82,0,-80,-79,2.3,-84,-77,-82,-78,0,4,5,12874,false,basement_parking,
2025-12-14T21:04:56.011095,3.0,3.0,B2,-78,-71,-82,-79,-78,-78,1.1,-80,-77,-79,-77,0,-72,-70,3.7,-77,-68,-77,-69,0,-82,-83,1.0,-84,-81,-83,-82,0,-80,-79,2.4,-83,-77,-83,-78,0,4,6,11129,false,basement_parking,
2025-12-14T21:05:08.998898,3.0,3.0,B2,-78,-72,-83,-79,-78,-78,1.1,-81,-76,-79,-77,0,-73,-70,4.3,-78,-68,-77,-69,0,-83,-83,1.0,-85,-82,-84,-83,0,-80,-81,2.4,-84,-77,-83,-78,0,4,7,11985,false,basement_parking,
2025-12-14T21:05:21.945787,3.0,3.0,B2,-77,-75,-83,-78,-78,-79,1.4,-81,-77,-79,-77,0,-73,-77,3.9,-78,-69,-77,-69,0,-82,-83,1.2,-84,-82,-84,-82,0,-80,-78,2.6,-84,-77,-83,-78,0,4,8,11944,false,basement_parking,
2025-12-14T21:05:34.970845,3.0,3.0,B2,-78,-73,-83,-81,-78,-78,1.2,-80,-76,-79,-77,0,-73,-70,3.5,-77,-69,-76,-69,0,-83,-84,1.0,-85,-83,-84,-83,0,-80,-81,2.2,-83,-77,-83,-78,0,4,9,12022,false,basement_parking,
2025-12-14T21:05:48.016785,3.0,3.0,B2,-78,-71,-83,-79,-77,-77,1.3,-80,-76,-78,-77,2,-71,-70,3.2,-78,-68,-70,-70,2,-83,-84,1.2,-85,-82,-84,-84,2,-80,-79,2.5,-84,-78,-83,-78,0,4,10,12043,false,basement_parking,
