timestamp,ground_truth_x,ground_truth_y,ground_truth_cell,rssi_A,rssi_B,rssi_C,rssi_D,rssiA_mean,rssiA_median,rssiA_std,rssiA_min,rssiA_max,rssiA_q25,rssiA_q75,rssiA_outliers,rssiB_mean,rssiB_median,rssiB_std,rssiB_min,rssiB_max,rssiB_q25,rssiB_q75,rssiB_outliers,rssiC_mean,rssiC_median,rssiC_std,rssiC_min,rssiC_max,rssiC_q25,rssiC_q75,rssiC_outliers,rssiD_mean,rssiD_median,rssiD_std,rssiD_min,rssiD_max,rssiD_q25,rssiD_q75,rssiD_outliers,anchors_valid,sample_number,collection_time_ms,beacon_moving,environment,notes
2025-12-15T01:56:39.619114,7.0,7.0,D4,-90,-87,-86,-77,-90,-90,0.5,-91,-89,-90,-90,3,-87,-88,1.1,-89,-86,-88,-87,0,-87,-87,0.9,-89,-86,-88,-87,0,-75,-75,1.9,-79,-74,-78,-74,0,4,1,17691,false,basement_parking,
2025-12-15T01:56:52.303370,7.0,7.0,D4,-90,-87,-87,-74,-90,-90,0.6,-91,-89,-91,-90,0,-87,-88,1.3,-89,-86,-89,-87,0,-87,-88,0.9,-89,-86,-88,-87,0,-75,-75,2.4,-79,-68,-78,-74,0,4,2,11682,false,basement_parking,
2025-12-15T01:57:04.323419,7.0,7.0,D4,-91,-87,-87,-74,-90,-91,0.7,-91,-90,-91,-90,0,-87,-88,1.4,-90,-86,-89,-87,0,-87,-87,1.0,-89,-86,-88,-87,0,-75,-75,1.9,-79,-74,-78,-74,0,4,3,11017,false,basement_parking,
2025-12-15T01:57:17.626327,7.0,7.0,D4,-90,-87,-87,-77,-89,-90,2.6,-92,-81,-91,-90,1,-88,-88,1.0,-89,-86,-89,-87,0,-87,-88,1.7,-89,-79,-88,-87,1,-76,-78,1.7,-78,-74,-78,-75,0,4,4,12300,false,basement_parking,
2025-12-15T01:57:31.002770,7.0,7.0,D4,-90,-88,-87,-74,-89,-90,2.8,-93,-80,-91,-90,2,-87,-87,1.5,-90,-86,-89,-87,0,-87,-88,1.0,-89,-86,-88,-87,0,-75,-75,2.1,-79,-74,-78,-74,0,4,5,12374,false,basement_parking,
2025-12-15T01:57:44.244368,7.0,7.0,D4,-89,-87,-87,-75,-89,-90,2.9,-91,-81,-90,-90,6,-87,-88,1.4,-90,-86,-89,-87,0,-87,-87,1.0,-89,-86,-88,-87,0,-76,-75,1.9,-79,-74,-78,-74,0,4,6,12239,false,basement_parking,
2025-12-15T01:57:57.274064,7.0,7.0,D4,-90,-87,-87,-76,-89,-90,2.8,-91,-81,-90,-90,3,-87,-88,1.3,-90,-85,-89,-87,0,-87,-87,1.2,-89,-86,-89,-87,0,-76,-75,1.8,-79,-74,-78,-74,0,4,7,12027,false,basement_parking,
2025-12-15T01:58:10.381207,7.0,7.0,D4,-90,-87,-86,-76,-89,-90,2.7,-91,-80,-91,-90,1,-88,-88,1.0,-89,-86,-89,-88,3,-87,-88,1.8,-89,-79,-88,-87,1,-76,-78,2.0,-79,-74,-78,-74,0,4,8,12104,false,basement_parking,
2025-12-15T01:58:23.207297,7.0,7.0,D4,-88,-88,-87,-77,-89,-90,2.7,-92,-81,-90,-90,4,-87,-88,2.0,-90,-80,-89,-86,1,-87,-88,1.0,-89,-86,-88,-87,0,-75,-75,2.0,-79,-74,-78,-74,0,4,9,11824,false,basement_parking,
2025-12-15T01:58:35.288627,7.0,7.0,D4,-88,-88,-87,-76,-89,-90,2.7,-91,-80,-91,-90,1,-87,-88,1.1,-89,-86,-88,-87,0,-87,-88,1.0,-89,-86,-88,-87,0,-76,-78,1.8,-78,-74,-78,-75,0,4,10,11079,false,basement_parking,
