timestamp,ground_truth_x,ground_truth_y,ground_truth_cell,rssi_A,rssi_B,rssi_C,rssi_D,rssiA_mean,rssiA_median,rssiA_std,rssiA_min,rssiA_max,rssiA_q25,rssiA_q75,rssiA_outliers,rssiB_mean,rssiB_median,rssiB_std,rssiB_min,rssiB_max,rssiB_q25,rssiB_q75,rssiB_outliers,rssiC_mean,rssiC_median,rssiC_std,rssiC_min,rssiC_max,rssiC_q25,rssiC_q75,rssiC_outliers,rssiD_mean,rssiD_median,rssiD_std,rssiD_min,rssiD_max,rssiD_q25,rssiD_q75,rssiD_outliers,anchors_valid,sample_number,collection_time_ms,beacon_moving,environment,notes
2025-12-15T03:26:19.323082,3.0,9.0,E2,-92,-89,-82,-79,-88,-92,5.6,-93,-79,-92,-84,0,-89,-89,0.6,-90,-89,-90,-89,0,-83,-84,2.3,-85,-74,-84,-84,3,-80,-80,1.0,-83,-79,-80,-80,3,4,1,18315,false,basement_parking,
2025-12-15T03:26:32.301224,3.0,9.0,E2,-89,-89,-82,-80,-88,-91,3.9,-92,-83,-91,-83,0,-89,-89,0.6,-90,-89,-90,-89,0,-83,-84,2.8,-85,-74,-84,-84,4,-80,-80,1.0,-83,-79,-80,-80,4,4,2,11975,false,basement_parking,
2025-12-15T03:26:45.649211,3.0,9.0,E2,-91,-88,-82,-81,-86,-83,4.7,-92,-79,-91,-83,0,-88,-89,0.8,-89,-88,-89,-88,0,-83,-84,2.4,-85,-74,-84,-84,3,-79,-80,4.8,-83,-67,-83,-80,3,4,3,12345,false,basement_parking,
2025-12-15T03:26:58.235883,3.0,9.0,E2,-91,-88,-83,-80,-89,-92,3.7,-92,-83,-92,-90,3,-88,-89,0.8,-89,-88,-89,-88,0,-83,-84,0.9,-84,-83,-84,-84,1,-80,-80,1.1,-83,-79,-80,-80,6,4,4,11584,false,basement_parking,
2025-12-15T03:27:11.370166,3.0,9.0,E2,-83,-89,-84,-81,-86,-83,4.6,-93,-79,-92,-83,0,-89,-89,0.7,-90,-88,-90,-88,0,-83,-84,3.0,-85,-74,-85,-84,1,-80,-80,1.5,-83,-80,-80,-80,3,4,5,12132,false,basement_parking,
2025-12-15T03:27:24.358328,3.0,9.0,E2,-85,-88,-84,-80,-86,-83,4.7,-93,-79,-91,-83,0,-88,-89,0.9,-89,-88,-89,-89,2,-83,-84,2.3,-85,-74,-84,-84,4,-79,-80,3.5,-83,-68,-80,-80,5,4,6,11986,false,basement_parking,
2025-12-15T03:28:40.427845,3.0,9.0,E2,-84,-89,-82,-80,-86,-83,4.8,-93,-79,-92,-83,0,-88,-89,0.9,-89,-88,-89,-89,1,-82,-82,0.3,-83,-82,-82,-82,2,-80,-80,1.5,-83,-79,-80,-80,5,4,10,24917,false,basement_parking,
2025-12-15T03:28:53.400856,3.0,9.0,E2,-87,-88,-82,-81,-86,-83,5.8,-93,-79,-92,-79,0,-89,-89,0.5,-90,-88,-89,-89,2,-81,-82,2.5,-83,-72,-83,-82,1,-80,-80,3.5,-83,-68,-83,-80,1,4,11,11970,false,basement_parking,
2025-12-15T03:29:06.345818,3.0,9.0,E2,-83,-89,-82,-82,-86,-83,4.7,-93,-79,-92,-83,0,-89,-89,0.4,-90,-88,-89,-89,2,-82,-82,0.5,-83,-82,-83,-82,0,-81,-80,1.6,-83,-79,-83,-80,0,4,12,11942,false,basement_parking,
2025-12-15T03:29:19.353655,3.0,9.0,E2,-86,-89,-82,-78,-86,-83,4.8,-93,-79,-92,-83,0,-89,-89,0.6,-90,-88,-89,-89,6,-81,-82,2.7,-83,-73,-83,-82,1,-79,-80,3.3,-83,-68,-80,-80,6,4,13,12005,false,basement_parking,
2025-12-15T03:29:32.324255,3.0,9.0,E2,-86,-88,-82,-78,-86,-83,5.0,-93,-79,-92,-83,0,-88,-89,0.8,-89,-88,-89,-88,0,-81,-82,2.8,-83,-73,-83,-82,2,-79,-80,3.6,-83,-68,-80,-80,4,4,14,11968,false,basement_parking,
2025-12-15T03:29:45.718517,3.0,9.0,E2,-86,-88,-80,-81,-84,-83,4.9,-94,-79,-91,-83,0,-88,-89,0.8,-89,-88,-89,-88,0,-81,-82,3.3,-83,-72,-82,-82,6,-80,-80,1.4,-83,-79,-80,-80,4,4,15,12392,false,basement_parking,
2025-12-15T03:29:59.314509,3.0,9.0,E2,-84,-88,-82,-81,-84,-83,5.0,-92,-78,-91,-79,0,-88,-89,1.0,-90,-88,-89,-88,0,-81,-82,3.1,-83,-72,-82,-82,5,-80,-80,3.3,-83,-68,-83,-80,1,4,16,12593,false,basement_parking,
2025-12-15T03:30:14.313544,3.0,9.0,E2,-90,-89,-80,-80,-88,-92,4.9,-94,-79,-92,-83,0,-88,-89,1.0,-90,-88,-89,-88,0,-80,-82,3.4,-83,-72,-82,-82,4,-80,-80,0.8,-83,-80,-80,-80,1,4,17,13997,false,basement_parking,
2025-12-15T03:30:27.348143,3.0,9.0,E2,-86,-89,-80,-81,-84,-83,4.7,-92,-79,-83,-80,5,-88,-89,0.9,-89,-88,-89,-89,2,-82,-83,2.4,-83,-72,-83,-82,1,-81,-80,1.6,-84,-79,-83,-80,0,4,18,12032,false,basement_parking,
2025-12-15T03:30:40.365161,3.0,9.0,E2,-89,-88,-82,-80,-88,-92,5.3,-93,-78,-92,-83,0,-89,-89,0.7,-90,-88,-90,-88,0,-80,-82,3.8,-83,-72,-83,-82,3,-80,-80,1.0,-83,-79,-80,-80,3,4,19,12015,false,basement_parking,
2025-12-15T03:30:53.777341,3.0,9.0,E2,-91,-89,-82,-80,-89,-92,4.0,-93,-83,-92,-83,0,-89,-89,0.5,-90,-89,-90,-89,0,-80,-82,3.7,-83,-73,-82,-82,9,-80,-80,1.4,-83,-79,-82,-80,0,4,20,12410,false,basement_parking,
2025-12-15T03:31:06.412823,3.0,9.0,E2,-90,-89,-82,-80,-85,-83,5.5,-93,-78,-92,-83,0,-89,-89,0.4,-90,-88,-89,-89,3,-82,-82,0.6,-83,-82,-83,-82,0,-81,-80,1.7,-83,-79,-83,-80,0,4,21,11632,false,basement_parking,
2025-12-15T03:31:19.326979,3.0,9.0,E2,-85,-89,-82,-78,-84,-83,4.3,-93,-79,-83,-82,6,-88,-89,0.9,-89,-88,-89,-89,1,-81,-82,2.3,-83,-73,-83,-82,1,-79,-80,4.4,-83,-68,-83,-80,2,4,22,11912,false,basement_parking,
2025-12-15T03:31:32.742309,3.0,9.0,E2,-86,-89,-82,-80,-87,-83,5.3,-93,-79,-93,-83,0,-89,-89,0.7,-90,-89,-90,-89,0,-81,-82,2.5,-83,-72,-83,-82,1,-80,-80,1.0,-83,-79,-80,-80,7,4,23,12412,false,basement_parking,
2025-12-15T03:31:46.421130,3.0,9.0,E2,-89,-88,-82,-80,-87,-91,5.5,-94,-79,-92,-83,0,-88,-89,0.8,-89,-88,-89,-88,0,-81,-82,2.2,-83,-73,-82,-82,4,-79,-80,3.0,-83,-68,-80,-80,5,4,24,12676,false,basement_parking,
2025-12-15T03:32:00.367636,3.0,9.0,E2,-85,-88,-82,-80,-86,-83,4.9,-93,-79,-92,-83,0,-88,-88,0.4,-89,-88,-88,-88,2,-80,-82,3.5,-83,-73,-82,-82,6,-80,-80,3.0,-83,-68,-80,-80,7,4,25,12944,false,basement_parking,
2025-12-15T03:32:13.290838,3.0,9.0,E2,-88,-88,-82,-81,-84,-83,4.5,-92,-79,-91,-83,0,-88,-88,0.6,-89,-88,-89,-88,0,-82,-82,0.2,-83,-82,-82,-82,1,-80,-80,1.8,-83,-79,-83,-80,0,4,26,11921,false,basement_parking,
2025-12-15T03:32:26.305336,3.0,9.0,E2,-86,-88,-82,-81,-87,-91,4.4,-93,-83,-92,-83,0,-88,-88,0.6,-89,-88,-89,-88,0,-81,-82,2.4,-83,-73,-83,-82,1,-81,-80,1.4,-83,-79,-83,-80,0,4,27,12012,false,basement_parking,
2025-12-15T03:32:39.346809,3.0,9.0,E2,-90,-88,-82,-80,-87,-91,4.9,-93,-79,-92,-83,0,-88,-89,1.1,-90,-88,-89,-88,0,-81,-82,2.5,-83,-72,-82,-82,2,-80,-80,1.6,-83,-79,-83,-80,0,4,28,12039,false,basement_parking,
2025-12-15T03:32:52.272778,3.0,9.0,E2,-84,-89,-82,-80,-86,-83,4.8,-93,-80,-92,-83,0,-89,-89,0.7,-90,-88,-90,-89,0,-81,-82,2.8,-83,-72,-82,-82,3,-80,-80,1.2,-83,-79,-80,-80,5,4,29,11923,false,basement_parking,
2025-12-15T03:33:06.229972,3.0,9.0,E2,-87,-88,-82,-80,-88,-91,5.0,-93,-78,-92,-83,0,-88,-89,0.9,-89,-88,-89,-89,1,-82,-82,0.3,-83,-82,-82,-82,3,-79,-80,3.0,-83,-68,-80,-80,4,4,30,12954,false,basement_parking,
2025-12-15T03:33:20.290154,3.0,9.0,E2,-82,-88,-82,-80,-85,-83,4.9,-92,-78,-91,-83,0,-88,-89,0.7,-89,-88,-89,-88,0,-81,-82,2.1,-82,-73,-82,-82,1,-80,-80,1.6,-83,-79,-82,-80,0,4,31,13057,false,basement_parking,
2025-12-15T03:33:33.379714,3.0,9.0,E2,-86,-88,-82,-80,-86,-83,4.6,-93,-80,-92,-83,0,-88,-89,1.0,-90,-88,-89,-89,4,-82,-82,0.5,-83,-82,-83,-82,0,-80,-80,1.6,-83,-79,-83,-80,0,4,32,12087,false,basement_parking,
2025-12-15T03:33:47.315754,3.0,9.0,E2,-87,-89,-82,-76,-86,-83,5.7,-93,-79,-92,-79,0,-89,-89,0.5,-90,-89,-89,-89,2,-82,-82,0.5,-83,-82,-83,-82,0,-77,-80,5.9,-83,-67,-82,-68,0,4,33,12934,false,basement_parking,
2025-12-15T03:34:00.295213,3.0,9.0,E2,-83,-89,-82,-79,-85,-83,5.7,-93,-79,-92,-79,0,-89,-90,0.7,-90,-89,-90,-89,0,-81,-82,2.4,-83,-73,-82,-82,3,-80,-80,1.1,-83,-79,-80,-79,1,4,34,11977,false,basement_parking,
2025-12-15T03:34:12.403963,3.0,9.0,E2,-85,-89,-82,-80,-86,-83,5.2,-92,-79,-92,-83,0,-89,-89,0.5,-90,-89,-90,-89,0,-81,-82,2.1,-83,-73,-82,-82,3,-79,-80,3.1,-83,-68,-80,-80,3,4,35,11106,false,basement_parking,
2025-12-15T03:34:25.339294,3.0,9.0,E2,-88,-89,-82,-77,-87,-92,5.3,-93,-79,-92,-83,0,-89,-89,0.4,-90,-89,-89,-89,2,-82,-82,0.3,-83,-82,-82,-82,2,-79,-80,3.2,-83,-68,-80,-80,4,4,36,11933,false,basement_parking,
2025-12-15T03:34:41.417511,3.0,9.0,E2,-88,-88,-82,-78,-86,-83,4.7,-92,-79,-91,-83,0,-88,-89,0.9,-89,-88,-89,-89,1,-82,-82,0.5,-83,-82,-83,-82,0,-79,-80,4.7,-83,-68,-83,-80,1,4,37,15075,false,basement_parking,
2025-12-15T03:34:55.343575,3.0,9.0,E2,-88,-88,-82,-81,-87,-84,4.5,-93,-83,-92,-83,0,-88,-89,1.0,-90,-88,-89,-88,0,-82,-82,0.3,-83,-82,-82,-82,2,-80,-80,1.8,-84,-79,-83,-80,0,4,38,12923,false,basement_parking,
2025-12-15T03:35:09.483638,3.0,9.0,E2,-88,-88,-82,-81,-85,-83,5.0,-93,-79,-91,-83,0,-88,-89,0.9,-89,-88,-89,-89,1,-82,-82,0.3,-83,-82,-82,-82,2,-81,-80,1.8,-83,-79,-83,-79,0,4,39,13137,false,basement_parking,
2025-12-15T03:35:23.306435,3.0,9.0,E2,-90,-88,-82,-79,-87,-91,5.0,-93,-79,-92,-83,0,-88,-89,0.7,-89,-88,-89,-88,0,-81,-82,2.6,-83,-73,-82,-82,4,-80,-80,1.7,-83,-79,-83,-80,0,4,40,12820,false,basement_parking,
2025-12-15T03:35:36.236590,3.0,9.0,E2,-86,-88,-82,-79,-86,-83,5.1,-93,-79,-92,-83,0,-88,-88,0.7,-89,-88,-89,-88,0,-82,-82,0.2,-83,-82,-82,-82,1,-80,-80,0.9,-83,-79,-80,-80,2,4,41,11927,false,basement_parking,
2025-12-15T03:35:49.716906,3.0,9.0,E2,-86,-88,-82,-78,-85,-83,5.4,-93,-78,-92,-79,0,-88,-88,0.6,-89,-88,-89,-88,0,-81,-82,2.9,-83,-72,-82,-82,4,-79,-80,3.6,-83,-67,-80,-80,4,4,42,12478,false,basement_parking,
2025-12-15T03:36:03.346412,3.0,9.0,E2,-89,-88,-82,-81,-87,-92,5.5,-93,-78,-92,-83,0,-88,-88,0.7,-89,-88,-89,-88,0,-81,-82,3.0,-83,-72,-82,-82,3,-80,-80,1.5,-83,-80,-82,-80,0,4,43,12627,false,basement_parking,
