timestamp,ground_truth_x,ground_truth_y,ground_truth_cell,rssi_A,rssi_B,rssi_C,rssi_D,rssiA_mean,rssiA_median,rssiA_std,rssiA_min,rssiA_max,rssiA_q25,rssiA_q75,rssiA_outliers,rssiB_mean,rssiB_median,rssiB_std,rssiB_min,rssiB_max,rssiB_q25,rssiB_q75,rssiB_outliers,rssiC_mean,rssiC_median,rssiC_std,rssiC_min,rssiC_max,rssiC_q25,rssiC_q75,rssiC_outliers,rssiD_mean,rssiD_median,rssiD_std,rssiD_min,rssiD_max,rssiD_q25,rssiD_q75,rssiD_outliers,anchors_valid,sample_number,collection_time_ms,beacon_moving,environment,notes
2025-12-14T23:50:21.252418,9.0,5.0,C5,-88,-76,-85,-70,-85,-84,4.6,-92,-75,-91,-84,0,-76,-76,1.0,-78,-76,-78,-76,0,0,0,0.0,0,0,0,0,0,-71,-70,1.5,-73,-70,-73,-70,0,4,1,17344,false,basement_parking,
2025-12-14T23:50:34.347023,9.0,5.0,C5,-77,-76,-92,-70,-84,-84,4.9,-92,-75,-85,-84,12,-75,-76,2.2,-78,-70,-77,-76,2,0,0,0.0,0,0,0,0,0,-70,-70,2.3,-74,-63,-72,-70,1,4,2,12092,false,basement_parking,
2025-12-14T23:50:47.421269,9.0,5.0,C5,-87,-77,-92,-71,-84,-84,5.2,-92,-75,-84,-84,13,-76,-76,2.0,-78,-70,-78,-76,1,0,0,0.0,0,0,0,0,0,-70,-70,1.4,-73,-69,-70,-70,4,4,3,12072,false,basement_parking,
2025-12-14T23:51:19.343098,9.0,5.0,C5,-83,-77,-87,-70,-85,-84,5.4,-92,-76,-91,-84,0,-76,-77,2.5,-78,-70,-78,-76,2,0,0,0.0,0,0,0,0,0,-70,-70,2.0,-73,-64,-70,-70,5,4,4,30919,false,basement_parking,
2025-12-14T23:51:32.217176,9.0,5.0,C5,-83,-76,-87,-71,-84,-84,5.9,-93,-75,-91,-83,0,-76,-76,1.3,-78,-76,-78,-76,0,0,0,0.0,0,0,0,0,0,-71,-70,1.4,-73,-70,-73,-70,0,4,5,11871,false,basement_parking,
2025-12-14T23:51:45.321025,9.0,5.0,C5,-85,-78,-85,-70,-85,-84,5.7,-93,-75,-92,-84,0,-77,-77,0.9,-78,-76,-78,-76,0,0,0,0.0,0,0,0,0,0,-70,-70,1.6,-73,-70,-73,-70,0,4,6,12101,false,basement_parking,
2025-12-14T23:51:58.339678,9.0,5.0,C5,-84,-74,-93,-71,-84,-84,3.8,-92,-75,-84,-84,8,-76,-76,1.9,-78,-70,-77,-76,2,-93,-94,1.4,-95,-92,-95,-92,0,-71,-70,1.4,-73,-70,-73,-70,0,4,7,12016,false,basement_parking,
2025-12-14T23:52:11.336768,9.0,5.0,C5,-81,-77,-93,-68,-85,-84,5.4,-92,-75,-92,-83,0,-76,-77,1.7,-78,-70,-78,-76,1,-93,-94,1.4,-95,-92,-95,-92,0,-69,-70,2.2,-73,-63,-70,-70,2,4,8,11994,false,basement_parking,
2025-12-14T23:52:25.268065,9.0,5.0,C5,-85,-76,-95,-72,-83,-83,4.6,-93,-75,-84,-83,11,-75,-76,2.7,-78,-70,-78,-76,4,-93,-94,1.4,-95,-92,-95,-92,0,-70,-70,2.6,-73,-63,-70,-70,7,4,9,12928,false,basement_parking,
2025-12-14T23:52:38.281313,9.0,5.0,C5,-90,-77,-95,-68,-82,-83,5.4,-93,-75,-84,-83,16,-76,-76,1.1,-78,-76,-77,-76,0,-93,-94,1.4,-95,-92,-95,-92,0,-70,-70,2.9,-73,-63,-73,-70,2,4,10,12011,false,basement_parking,
2025-12-14T23:52:51.262847,9.0,5.0,C5,-84,-81,-91,-71,-83,-84,5.0,-93,-75,-85,-82,10,-78,-79,3.6,-84,-69,-81,-77,1,-91,-92,0.8,-92,-91,-92,-91,0,-71,-71,2.6,-75,-62,-73,-70,1,4,11,11979,false,basement_parking,
2025-12-14T23:53:04.319391,9.0,5.0,C5,-84,-77,-91,-70,-83,-84,5.0,-92,-75,-84,-84,12,-76,-76,1.2,-78,-76,-78,-76,0,-91,-92,0.8,-92,-91,-92,-91,0,-70,-70,2.9,-73,-63,-73,-70,1,4,12,12054,false,basement_parking,
2025-12-14T23:53:54.308799,9.0,5.0,C5,-83,-76,-94,-70,-83,-83,4.6,-92,-75,-84,-83,9,-76,-76,1.1,-78,-76,-78,-76,0,-91,-92,0.8,-92,-91,-92,-91,0,-70,-70,2.2,-73,-63,-73,-70,1,4,13,48987,false,basement_parking,
2025-12-14T23:54:07.363684,9.0,5.0,C5,-83,-76,-85,-70,-86,-84,4.7,-92,-76,-92,-83,0,-76,-76,1.9,-78,-70,-78,-76,1,-91,-92,0.8,-92,-91,-92,-91,0,-70,-70,2.4,-73,-63,-73,-70,1,4,14,12052,false,basement_parking,
2025-12-14T23:54:20.305804,9.0,5.0,C5,-85,-77,-94,-69,-84,-84,5.0,-94,-76,-84,-83,11,-76,-76,1.2,-78,-76,-78,-76,0,-91,-92,0.8,-92,-91,-92,-91,0,-70,-70,2.5,-73,-63,-73,-70,1,4,15,11939,false,basement_parking,
2025-12-14T23:54:33.343370,9.0,5.0,C5,-83,-75,-84,-70,-84,-84,5.5,-92,-75,-91,-83,0,-75,-76,2.4,-78,-70,-77,-76,2,-91,-92,0.8,-92,-91,-92,-91,0,-69,-70,2.2,-73,-63,-70,-70,2,4,16,12035,false,basement_parking,
2025-12-14T23:54:46.229703,9.0,5.0,C5,-85,-76,-84,-73,-84,-84,4.7,-93,-75,-91,-84,0,-76,-76,1.6,-78,-71,-78,-76,1,-91,-92,0.8,-92,-91,-92,-91,0,-71,-70,1.5,-73,-70,-73,-70,0,4,17,11884,false,basement_parking,
2025-12-14T23:55:00.374747,9.0,5.0,C5,-80,-76,-92,-69,-83,-84,5.2,-93,-75,-84,-83,11,-76,-76,1.6,-78,-70,-76,-76,5,-92,-92,0.5,-93,-92,-93,-92,0,-71,-70,1.5,-73,-69,-73,-70,0,4,18,13143,false,basement_parking,
2025-12-14T23:55:13.679342,9.0,5.0,C5,-82,-76,-94,-72,-84,-84,5.1,-93,-76,-91,-84,0,-76,-76,2.0,-78,-70,-78,-76,2,-92,-92,0.5,-93,-92,-93,-92,0,-71,-70,1.5,-73,-69,-73,-70,0,4,19,12302,false,basement_parking,
2025-12-14T23:55:26.205757,9.0,5.0,C5,-88,-77,-92,-70,-84,-84,5.0,-93,-76,-91,-83,0,-76,-76,1.2,-78,-76,-78,-76,0,-92,-92,0.5,-93,-92,-93,-92,0,-71,-70,1.4,-73,-69,-73,-70,0,4,20,11524,false,basement_parking,
2025-12-14T23:55:39.275148,9.0,5.0,C5,-81,-75,-92,-69,-84,-84,5.2,-92,-75,-91,-83,0,-75,-76,2.6,-78,-70,-77,-76,4,-92,-92,0.5,-93,-92,-93,-92,0,-70,-70,2.7,-73,-63,-73,-69,0,4,21,12067,false,basement_parking,
2025-12-14T23:55:52.283128,9.0,5.0,C5,-90,-77,-92,-71,-86,-84,3.9,-92,-83,-91,-84,0,-76,-76,0.9,-78,-76,-76,-76,4,-92,-92,0.5,-93,-92,-93,-92,0,-70,-70,1.7,-73,-69,-73,-70,0,4,22,12005,false,basement_parking,
2025-12-14T23:56:05.355212,9.0,5.0,C5,-86,-77,-93,-71,-84,-84,5.5,-92,-75,-90,-83,0,-77,-77,0.8,-78,-76,-78,-76,0,-92,-92,0.5,-93,-92,-93,-92,0,-70,-70,1.6,-73,-69,-73,-70,0,4,23,12069,false,basement_parking,
2025-12-14T23:56:18.351484,9.0,5.0,C5,-88,-76,-93,-71,-87,-90,3.7,-92,-83,-91,-84,0,-76,-76,1.5,-78,-70,-76,-76,6,-92,-92,0.5,-93,-92,-93,-92,0,-70,-70,1.4,-73,-69,-70,-70,5,4,24,11994,false,basement_parking,
2025-12-14T23:56:49.747407,9.0,5.0,C5,-86,-77,-89,-72,-85,-84,4.3,-93,-76,-91,-83,0,-76,-77,1.9,-78,-70,-78,-76,1,-89,-92,4.0,-93,-84,-93,-84,0,-70,-70,2.6,-73,-63,-73,-70,2,4,25,30393,false,basement_parking,
2025-12-14T23:57:03.318661,9.0,5.0,C5,-82,-78,-85,-70,-84,-84,4.4,-92,-75,-84,-83,10,-76,-76,2.2,-78,-70,-78,-76,2,-89,-92,4.0,-93,-84,-93,-84,0,-71,-73,1.7,-73,-69,-73,-70,0,4,26,12568,false,basement_parking,
2025-12-14T23:57:16.276660,9.0,5.0,C5,-78,-77,-85,-70,-84,-84,4.1,-92,-75,-85,-84,8,-76,-76,2.0,-78,-70,-78,-76,1,-89,-92,4.0,-93,-84,-93,-84,0,-70,-70,1.6,-73,-69,-73,-70,0,4,27,11955,false,basement_parking,
2025-12-14T23:57:29.622396,9.0,5.0,C5,-83,-75,-84,-71,-85,-84,3.9,-93,-76,-84,-83,7,-75,-76,1.9,-78,-70,-76,-76,3,-89,-92,4.0,-93,-84,-93,-84,0,-71,-70,1.5,-73,-70,-73,-70,0,4,28,12343,false,basement_parking,
