timestamp,ground_truth_x,ground_truth_y,ground_truth_cell,rssi_A,rssi_B,rssi_C,rssi_D,rssiA_mean,rssiA_median,rssiA_std,rssiA_min,rssiA_max,rssiA_q25,rssiA_q75,rssiA_outliers,rssiB_mean,rssiB_median,rssiB_std,rssiB_min,rssiB_max,rssiB_q25,rssiB_q75,rssiB_outliers,rssiC_mean,rssiC_median,rssiC_std,rssiC_min,rssiC_max,rssiC_q25,rssiC_q75,rssiC_outliers,rssiD_mean,rssiD_median,rssiD_std,rssiD_min,rssiD_max,rssiD_q25,rssiD_q75,rssiD_outliers,anchors_valid,sample_number,collection_time_ms,beacon_moving,environment,notes
2025-12-15T01:30:47.271696,5.0,7.0,D3,-92,-84,-90,-69,-92,-93,0.8,-93,-92,-93,-92,0,-85,-85,2.5,-94,-84,-85,-84,1,-90,-90,0.5,-91,-89,-90,-90,4,-71,-73,1.9,-74,-69,-73,-69,0,4,1,17513,false,basement_parking,
2025-12-15T01:31:18.274951,5.0,7.0,D3,-93,-85,-90,-72,-93,-93,0.5,-94,-93,-93,-93,2,-87,-85,4.7,-93,-75,-92,-85,0,-89,-90,1.0,-91,-89,-90,-90,3,-71,-73,2.0,-74,-69,-73,-69,0,4,2,30001,false,basement_parking,
2025-12-15T01:31:31.386049,5.0,7.0,D3,-89,-84,-89,-69,-90,-92,3.9,-94,-83,-93,-92,2,-88,-85,4.0,-95,-84,-92,-85,0,-89,-90,1.0,-91,-89,-90,-90,3,-71,-73,2.3,-74,-63,-73,-69,0,4,3,12108,false,basement_parking,
2025-12-15T01:31:44.298352,5.0,7.0,D3,-93,-84,-90,-71,-91,-93,3.9,-94,-83,-94,-93,1,-88,-85,3.8,-93,-84,-92,-85,0,-89,-90,1.0,-91,-89,-90,-90,4,-71,-73,1.9,-74,-69,-73,-69,0,4,4,11909,false,basement_parking,
2025-12-15T01:31:57.592940,5.0,7.0,D3,-93,-84,-89,-70,-93,-93,1.0,-95,-92,-94,-93,0,-87,-85,4.0,-94,-84,-93,-85,0,-89,-90,1.0,-91,-89,-90,-90,3,-71,-73,2.0,-74,-69,-73,-69,0,4,5,12292,false,basement_parking,
2025-12-15T01:32:10.258287,5.0,7.0,D3,-93,-86,-89,-70,-93,-93,0.7,-94,-92,-93,-92,0,-86,-85,3.6,-94,-84,-92,-84,0,-89,-90,1.0,-91,-89,-90,-90,4,-71,-73,1.9,-74,-69,-73,-69,0,4,6,11663,false,basement_parking,
2025-12-15T01:32:23.281967,5.0,7.0,D3,-91,-87,-89,-70,-91,-92,4.2,-95,-83,-94,-92,1,-87,-85,4.5,-93,-76,-92,-84,0,-90,-90,0.5,-91,-89,-91,-90,0,-71,-73,2.0,-74,-69,-73,-69,0,4,7,12021,false,basement_parking,
2025-12-15T01:32:36.311116,5.0,7.0,D3,-91,-87,-89,-73,-91,-93,4.2,-95,-83,-93,-93,2,-87,-85,3.3,-93,-84,-91,-85,0,-89,-90,1.0,-91,-89,-90,-90,5,-71,-73,2.0,-74,-69,-73,-69,0,4,8,12027,false,basement_parking,
2025-12-15T01:32:49.596010,5.0,7.0,D3,-90,-86,-89,-71,-91,-93,4.1,-94,-82,-93,-92,1,-87,-85,3.5,-93,-85,-92,-85,0,-90,-90,0.6,-91,-89,-90,-90,7,-71,-73,2.1,-74,-69,-73,-69,0,4,9,12282,false,basement_parking,
2025-12-15T01:33:02.217956,5.0,7.0,D3,-92,-85,-90,-70,-92,-92,0.9,-94,-92,-93,-92,0,-86,-85,4.3,-94,-76,-92,-85,0,-90,-90,0.5,-91,-90,-91,-90,0,-71,-73,1.9,-73,-69,-73,-69,0,4,10,11619,false,basement_parking,
