timestamp,ground_truth_x,ground_truth_y,ground_truth_cell,rssi_A,rssi_B,rssi_C,rssi_D,rssiA_mean,rssiA_median,rssiA_std,rssiA_min,rssiA_max,rssiA_q25,rssiA_q75,rssiA_outliers,rssiB_mean,rssiB_median,rssiB_std,rssiB_min,rssiB_max,rssiB_q25,rssiB_q75,rssiB_outliers,rssiC_mean,rssiC_median,rssiC_std,rssiC_min,rssiC_max,rssiC_q25,rssiC_q75,rssiC_outliers,rssiD_mean,rssiD_median,rssiD_std,rssiD_min,rssiD_max,rssiD_q25,rssiD_q75,rssiD_outliers,anchors_valid,sample_number,collection_time_ms,beacon_moving,environment,notes
2025-12-15T03:07:32.479027,1.0,9.0,E1,-86,-92,-76,-78,-86,-87,1.6,-89,-84,-88,-85,0,-92,-93,0.9,-93,-91,-93,-91,0,-74,-73,3.6,-82,-72,-73,-73,9,-78,-78,0.0,-78,-78,-78,-78,0,4,1,18180,false,basement_parking,
2025-12-15T03:07:45.553002,1.0,9.0,E1,-84,-92,-82,-78,-85,-87,2.3,-88,-80,-87,-84,0,-92,-92,0.5,-93,-92,-93,-92,0,-75,-73,4.1,-83,-72,-82,-73,0,-78,-78,0.0,-78,-78,-78,-78,0,4,2,12071,false,basement_parking,
2025-12-15T03:07:57.525439,1.0,9.0,E1,-84,-92,-75,-78,-85,-87,2.5,-88,-79,-88,-85,3,-92,-92,1.0,-94,-91,-93,-92,0,-75,-73,4.2,-83,-73,-82,-73,0,-78,-78,0.0,-78,-78,-78,-78,0,4,3,10970,false,basement_parking,
2025-12-15T03:08:10.606271,1.0,9.0,E1,-87,-91,-74,-78,-86,-87,2.0,-89,-80,-88,-85,1,-91,-91,0.7,-92,-90,-92,-91,0,-74,-73,3.5,-82,-72,-73,-73,12,-78,-78,0.0,-78,-78,-78,-78,0,4,4,12078,false,basement_parking,
2025-12-15T03:08:23.486143,1.0,9.0,E1,-85,-92,-73,-78,-86,-87,1.9,-88,-80,-87,-85,1,-92,-92,0.6,-93,-92,-93,-92,0,-74,-73,3.0,-83,-73,-73,-73,3,-78,-78,0.0,-78,-78,-78,-78,0,4,5,11877,false,basement_parking,
2025-12-15T03:08:35.501225,1.0,9.0,E1,-86,-93,-78,-78,-86,-87,1.9,-88,-79,-88,-85,1,-93,-93,0.7,-94,-92,-94,-93,0,-75,-73,4.2,-83,-71,-82,-73,0,-78,-78,0.0,-78,-78,-78,-78,0,4,6,11013,false,basement_parking,
2025-12-15T03:08:48.557897,1.0,9.0,E1,-86,-93,-73,-78,-85,-87,2.3,-88,-79,-87,-85,2,-93,-93,0.7,-94,-92,-94,-93,0,-75,-73,4.3,-83,-71,-82,-73,0,-78,-78,0.0,-78,-78,-78,-78,0,4,7,12054,false,basement_parking,
2025-12-15T03:09:01.459563,1.0,9.0,E1,-86,-93,-74,-78,-85,-87,2.9,-88,-78,-88,-85,4,-93,-93,0.7,-94,-92,-94,-93,0,-76,-73,4.6,-83,-72,-82,-73,0,-78,-78,0.1,-79,-78,-78,-78,1,4,8,11899,false,basement_parking,
2025-12-15T03:09:14.560728,1.0,9.0,E1,-85,-92,-74,-78,-86,-87,1.8,-88,-79,-87,-85,1,-92,-92,0.6,-93,-92,-93,-92,0,-75,-73,4.2,-83,-71,-82,-73,0,-78,-78,0.0,-78,-78,-78,-78,0,4,9,12099,false,basement_parking,
2025-12-15T03:09:26.831793,1.0,9.0,E1,-86,-92,-73,-78,-85,-87,2.6,-89,-79,-88,-85,3,-92,-92,0.6,-93,-92,-93,-92,0,-76,-73,4.4,-83,-73,-82,-73,0,-77,-78,1.9,-78,-69,-78,-78,2,4,10,11269,false,basement_parking,
